order_id,product_id,old_name,category,sub_category,base_price,price,quantity,amount,discount,profit,status,priority,user_id,region,city,state,order_date,ship_date,payment_mode
35,1035,Microwave v1,Home Appliances,Microwave,1437.38,1823.37,7,12763.59,0.1,2701.93,Cancelled,Medium,11353.0,West,Mumbai,Maharashtra,2026-02-19,2026-02-25,Cash
36,1036,Mixer v1,Home Appliances,Mixer,2200.2,3168.47,3,9505.41,0.0,2904.81,Pending,Medium,12682.0,North,Jaipur,Rajasthan,2025-09-24,2025-09-28,Cash
37,1037,Shirt v1,Clothing,Shirt,3770.22,4047.1,6,24282.6,0.05,1661.28,Completed,High,10330.0,West,Mumbai,Maharashtra,2025-03-12,2025-03-19,Credit Card
38,1038,Desk v1,Furniture,Desk,660.51,975.24,8,7801.92,0.1,2517.84,Completed,Low,14964.0,West,Pune,Maharashtra,2026-01-13,2026-01-15,Debit Card
39,1039,Mobile v1,Electronics,Mobile,3419.0,5064.15,7,35449.05,0.05,11516.05,Pending,Medium,11990.0,East,Patna,Bihar,2025-03-19,2025-03-24,UPI
40,1040,Mixer v1,Home Appliances,Mixer,2199.05,2675.71,9,24081.39,0.1,4289.94,Cancelled,Medium,13442.0,East,Patna,Bihar,2025-01-13,2025-01-20,Cash
41,1041,Sofa v1,Furniture,Sofa,2656.56,3566.98,10,35669.8,0.2,9104.2,Completed,Medium,13569.0,South,Hyderabad,Telangana,2026-05-11,2026-05-15,UPI
42,1042,Shoes v1,Clothing,Shoes,2892.26,3906.53,6,23439.18,0.0,6085.62,Pending,Medium,12663.0,South,Chennai,Tamil Nadu,2026-05-22,2026-05-29,Net Banking
43,1043,,Clothing,Shirt,1282.64,1581.36,9,14232.24,0.05,2688.48,Completed,Medium,14021.0,South,Bengaluru,Karnataka,2026-05-03,2026-05-09,Credit Card
44,1044,Jacket v1,Clothing,Jacket,2701.52,3353.87,9,30184.83,0.1,5871.15,Completed,High,13718.0,West,Pune,Maharashtra,2025-12-27,2026-01-02,UPI
45,1045,Microwave v1,Home Appliances,Microwave,3719.16,4367.87,10,43678.7,0.2,6487.1,Completed,Low,11591.0,South,Bengaluru,Karnataka,2025-10-17,2025-10-18,Credit Card
46,1046,Shirt v1,Clothing,Shirt,1531.47,2258.67,8,18069.36,0.0,5817.6,Completed,High,12330.0,North,Jaipur,Rajasthan,2025-01-13,2025-01-18,Cash
47,1047,Mobile v1,Electronics,Mobile,463.0,617.3,1,617.3,0.05,154.3,Completed,Medium,14611.0,West,Ahmedabad,Gujarat,2025-06-02,2025-06-09,Cash
48,1048,Microwave v1,Home Appliances,Microwave,4551.67,5388.31,10,53883.1,0.15,8366.4,Cancelled,Medium,10494.0,West,Ahmedabad,Gujarat,2025-11-09,2025-11-14,Credit Card
49,1049,Shirt v1,Clothing,Shirt,951.69,1031.42,1,1031.42,0.15,79.73,Completed,Medium,14865.0,South,Bengaluru,Karnataka,2026-04-07,2026-04-13,Cash
50,1050,Laptop v1,Electronics,Laptop,2989.97,4221.11,4,16884.44,0.15,4924.56,Pending,High,11842.0,East,Patna,Bihar,2025-04-28,2025-05-03,Credit Card
51,1051,Jacket v1,Clothing,Jacket,2396.62,2844.41,7,19910.87,0.1,3134.53,Pending,Low,14046.0,West,Mumbai,Maharashtra,2026-05-28,2026-06-02,Net Banking
52,1052,Shirt v1,Clothing,Shirt,4813.36,6864.72,10,68647.2,0.2,20513.6,Completed,Medium,12208.0,North,Delhi,Delhi,2025-01-22,2025-01-29,Cash
53,1053,Jeans v1,Clothing,Jeans,4089.8,6077.75,8,48622.0,0.1,15903.6,Completed,Medium,12631.0,West,Pune,Maharashtra,2026-02-23,2026-02-26,Debit Card
54,1054,Notebook v1,Office Supplies,Notebook,1641.13,1961.93,7,13733.51,0.2,2245.6,Completed,Medium,14445.0,West,Mumbai,Maharashtra,2025-01-02,2025-01-08,Cash
55,1055,Notebook v1,Office Supplies,Notebook,2791.18,4095.92,8,32767.36,0.15,10437.92,Completed,High,14988.0,South,Chennai,Tamil Nadu,2025-05-05,2025-05-06,Cash
56,1056,Laptop v1,Electronics,Laptop,4740.6,6359.37,3,19078.11,0.15,4856.31,Completed,Medium,12240.0,North,Chandigarh,Chandigarh,2025-10-26,2025-10-31,Credit Card
57,1057,Pen v1,Office Supplies,Pen,1453.61,2043.05,7,14301.35,0.1,4126.08,Completed,Low,10022.0,South,Bengaluru,Karnataka,2026-06-04,2026-06-07,Cash
58,1058,Sofa v1,Furniture,Sofa,1728.96,2408.95,7,16862.65,0.15,4759.93,Completed,Low,11546.0,West,Ahmedabad,Gujarat,2025-11-26,2025-12-03,Cash
59,1059,Tablet v1,Electronics,Tablet,4575.81,5589.6,3,16768.8,0.15,3041.37,Completed,Low,14115.0,West,Pune,Maharashtra,2025-02-07,2025-02-09,UPI
60,1060,Vacuum v1,Home Appliances,Vacuum,806.36,1162.71,3,3488.13,0.0,1069.05,Completed,Low,12172.0,North,Jaipur,Rajasthan,2026-04-26,2026-05-03,Net Banking
61,1061,Printer v1,Office Supplies,Printer,275.91,298.2,5,1491.0,0.05,111.45,Completed,High,10807.0,West,Pune,Maharashtra,2025-04-03,2025-04-07,Debit Card
62,1062,Mobile v1,Electronics,Mobile,1537.5,1873.72,3,5621.16,0.05,1008.66,Pending,Medium,11476.0,East,Kolkata,West Bengal,2026-02-26,2026-03-03,Credit Card
63,1063,Pen v1,Office Supplies,Pen,3225.73,4054.12,1,4054.12,0.15,828.39,Completed,Medium,14478.0,South,Chennai,Tamil Nadu,2025-10-22,2025-10-28,Cash
64,1064,Shoes v1,Clothing,Shoes,4996.93,7165.6,2,14331.2,0.05,4337.34,Completed,Low,12941.0,East,Kolkata,West Bengal,2026-01-26,2026-01-31,Cash
65,1065,Shirt v1,Clothing,Shirt,3751.34,5344.82,5,26724.1,0.05,7967.4,Completed,Medium,11558.0,North,Jaipur,Rajasthan,2025-12-27,2025-12-29,Credit Card
66,1066,Mobile v1,Electronics,Mobile,263.49,319.93,3,959.79,0.0,169.32,Completed,Low,13404.0,East,Bhubaneswar,Odisha,2025-10-30,2025-11-02,Net Banking
67,1067,Fan v1,Home Appliances,Fan,4578.84,6753.26,5,33766.3,0.1,10872.1,Pending,Low,10617.0,South,Chennai,Tamil Nadu,2025-04-28,2025-05-02,Cash
68,1068,Fan v1,Home Appliances,Fan,168.2,217.22,8,1737.76,0.1,392.16,Completed,Medium,13122.0,North,Chandigarh,Chandigarh,2025-09-26,2025-10-01,UPI
69,1069,Fan v1,Home Appliances,Fan,409.76,582.16,5,2910.8,0.15,862.0,Completed,High,10372.0,South,Hyderabad,Telangana,2025-04-30,2025-05-02,Net Banking
70,1070,Sofa v1,Furniture,Sofa,3385.38,4686.76,9,42180.84,0.15,11712.42,Cancelled,Medium,10812.0,West,Ahmedabad,Gujarat,2025-06-08,2025-06-12,Debit Card
71,1071,Sofa v1,Furniture,Sofa,4291.71,4698.18,6,28189.08,0.2,2438.82,Cancelled,Low,13262.0,West,Mumbai,Maharashtra,2026-01-03,2026-01-04,UPI
72,1072,Chair v1,Furniture,Chair,1293.49,1431.46,10,14314.6,0.05,1379.7,Pending,Medium,14541.0,North,Chandigarh,Chandigarh,2025-03-12,2025-03-19,Credit Card
73,1073,Mixer v1,Home Appliances,Mixer,4938.88,6386.45,3,19159.35,0.0,4342.71,Completed,High,10122.0,East,Kolkata,West Bengal,2025-01-27,2025-01-29,Debit Card
74,1074,Laptop v1,Electronics,Laptop,656.88,708.51,8,5668.08,0.1,413.04,Completed,Low,10894.0,West,Pune,Maharashtra,2026-06-10,2026-06-15,Net Banking
75,1075,Shoes v1,Clothing,Shoes,4993.08,7146.52,7,50025.64,0.0,15074.08,Completed,High,13634.0,North,Delhi,Delhi,2026-05-18,2026-05-24,Debit Card
76,1076,Fan v1,Home Appliances,Fan,2699.73,3385.93,10,33859.3,0.15,6862.0,Pending,Low,10938.0,West,Pune,Maharashtra,2025-04-12,2025-04-19,Credit Card
77,1077,Marker v1,Office Supplies,Marker,1760.76,2208.12,7,15456.84,0.0,3131.52,Completed,Low,12561.0,South,Chennai,Tamil Nadu,2025-11-17,2025-11-21,UPI
78,1078,Mobile v1,Electronics,Mobile,573.17,792.38,3,2377.14,0.2,657.63,Completed,Low,14601.0,North,Chandigarh,Chandigarh,2025-03-03,2025-03-08,Cash
79,1079,Tablet v1,Electronics,Tablet,607.64,776.77,3,2330.31,0.15,507.39,Completed,Medium,10887.0,East,Bhubaneswar,Odisha,2025-08-18,2025-08-25,Credit Card
80,1080,Notebook v1,Office Supplies,Notebook,984.04,1344.41,5,6722.05,0.1,1801.85,Completed,High,11487.0,East,Kolkata,West Bengal,2025-12-26,2025-12-27,UPI
81,1081,Laptop v1,Electronics,Laptop,2322.86,2603.54,5,13017.7,0.1,1403.4,Completed,Medium,11275.0,West,Ahmedabad,Gujarat,2025-03-28,2025-03-29,Cash
82,1082,Marker v1,Office Supplies,Marker,1156.29,1480.69,6,8884.14,0.15,1946.4,Completed,Medium,14859.0,West,Ahmedabad,Gujarat,2025-04-24,2025-04-27,Net Banking
83,1083,Mobile v1,Electronics,Mobile,4732.09,6602.72,5,33013.6,0.1,9353.15,Completed,Medium,10064.0,South,Chennai,Tamil Nadu,2025-12-02,2025-12-03,Credit Card
84,1084,Fan v1,Home Appliances,Fan,4322.65,4621.07,1,4621.07,0.15,298.42,Completed,Medium,12565.0,North,Chandigarh,Chandigarh,2025-03-21,2025-03-28,UPI
85,1085,Notebook v1,Office Supplies,Notebook,4026.48,5347.8,6,32086.8,0.0,7927.92,Completed,Medium,10868.0,East,Kolkata,West Bengal,2026-03-24,2026-03-31,Debit Card
86,1086,Jeans v1,Clothing,Jeans,474.26,633.11,9,5697.99,0.2,1429.65,Completed,High,12863.0,East,Kolkata,West Bengal,2025-07-18,2025-07-25,UPI
87,1087,Table v1,Furniture,Table,3051.76,4248.35,2,8496.7,0.05,2393.18,Cancelled,Medium,14619.0,South,Bengaluru,Karnataka,2026-05-21,2026-05-25,Net Banking
88,1088,Jacket v1,Clothing,Jacket,434.6,542.81,5,2714.05,0.1,541.05,Completed,Medium,14157.0,South,Chennai,Tamil Nadu,2025-02-27,2025-03-02,Debit Card
89,1089,Mobile v1,Electronics,Mobile,2943.61,4354.79,1,4354.79,0.15,1411.18,Completed,High,14957.0,West,Ahmedabad,Gujarat,2025-07-12,2025-07-15,Debit Card
90,1090,Laptop v1,Electronics,Laptop,3567.35,5336.55,9,48028.95,0.2,15922.8,Pending,Medium,13055.0,North,Delhi,Delhi,2025-06-12,2025-06-15,UPI
91,1091,Shirt v1,Clothing,Shirt,2834.02,3468.71,5,17343.55,0.2,3173.45,Completed,Low,10668.0,East,Kolkata,West Bengal,2025-06-03,2025-06-06,Cash
92,1092,,Furniture,Chair,1945.73,2736.18,3,8208.54,0.2,2371.35,Completed,Low,13469.0,East,Patna,Bihar,2025-04-06,2025-04-12,Debit Card
93,1093,Pen v1,Office Supplies,Pen,859.23,1016.56,2,2033.12,0.2,314.66,Completed,High,12759.0,South,Bengaluru,Karnataka,2026-06-24,2026-06-25,Credit Card
94,1094,Microwave v1,Home Appliances,Microwave,2113.21,2862.05,4,11448.2,0.15,2995.36,Cancelled,Low,13678.0,West,Mumbai,Maharashtra,2025-10-19,2025-10-26,Credit Card
95,1095,Shoes v1,Clothing,Shoes,3912.81,4993.95,7,34957.65,0.05,7567.98,Completed,Low,14954.0,West,Ahmedabad,Gujarat,2025-07-24,2025-07-31,Net Banking
96,1096,Mobile v1,Electronics,Mobile,3839.27,4502.53,9,40522.77,0.05,5969.34,Cancelled,Medium,11819.0,East,Kolkata,West Bengal,2026-03-24,2026-03-25,Cash
97,1097,Fan v1,Home Appliances,Fan,4973.17,6060.86,1,6060.86,0.1,1087.69,Completed,Low,12747.0,South,Chennai,Tamil Nadu,2025-04-12,2025-04-19,Credit Card
98,1098,Marker v1,Office Supplies,Marker,193.12,221.52,3,664.56,0.2,85.2,Completed,Medium,10911.0,North,Delhi,Delhi,2026-06-25,2026-06-29,Net Banking
99,1099,,Office Supplies,Notebook,3024.02,3197.59,9,28778.31,0.2,1562.13,Completed,Medium,11177.0,North,Chandigarh,Chandigarh,2025-09-05,2025-09-11,Credit Card
100,1100,Tablet v1,Electronics,Tablet,2766.0,3883.15,9,34948.35,0.2,10054.35,Completed,Low,13852.0,North,Jaipur,Rajasthan,2025-01-21,2025-01-25,Debit Card
101,1101,Tablet v1,Electronics,Tablet,3319.81,3640.67,10,36406.7,0.1,3208.6,Completed,Low,12887.0,South,Hyderabad,Telangana,2025-05-17,2025-05-18,Cash
102,1102,Pen v1,Office Supplies,Pen,3608.62,5321.35,1,5321.35,0.1,1712.73,Completed,Medium,11635.0,South,Bengaluru,Karnataka,2025-07-26,2025-07-27,Net Banking
103,1103,Printer v1,Office Supplies,Printer,1036.41,1254.72,1,1254.72,0.1,218.31,Completed,Low,13015.0,North,Jaipur,Rajasthan,2025-10-07,2025-10-08,Debit Card
104,1104,Sofa v1,Furniture,Sofa,4629.12,5942.28,2,11884.56,0.15,2626.32,Completed,High,14936.0,West,Ahmedabad,Gujarat,2025-03-22,2025-03-26,Debit Card
105,1105,Jacket v1,Clothing,Jacket,3616.55,4068.58,8,32548.64,0.1,3616.24,Completed,Low,12889.0,West,Pune,Maharashtra,2026-04-03,2026-04-04,UPI
106,1106,Headphones v1,Electronics,Headphones,4025.37,5457.33,1,5457.33,0.05,1431.96,Completed,Medium,11035.0,East,Patna,Bihar,2026-03-25,2026-03-26,Net Banking
107,1107,Laptop v1,Electronics,Laptop,1922.87,2679.3,10,26793.0,0.05,7564.3,Completed,Low,12576.0,West,Ahmedabad,Gujarat,2026-01-11,2026-01-15,Cash
108,1108,Vacuum v1,Home Appliances,Vacuum,3897.33,5326.94,4,21307.76,0.2,5718.44,Completed,High,14024.0,North,Chandigarh,Chandigarh,2025-10-20,2025-10-26,Cash
109,1109,Tablet v1,Electronics,Tablet,418.2,541.14,5,2705.7,0.05,614.7,Completed,High,12962.0,East,Patna,Bihar,2025-06-28,2025-07-05,Cash
110,1110,Tablet v1,Electronics,Tablet,4037.94,5242.22,10,52422.2,0.0,12042.8,Completed,Low,13262.0,East,Bhubaneswar,Odisha,2025-03-09,2025-03-12,Net Banking
111,1111,Laptop v1,Electronics,Laptop,463.41,583.72,9,5253.48,0.1,1082.79,Cancelled,Medium,14517.0,East,Patna,Bihar,2025-05-12,2025-05-19,UPI
112,1112,Laptop v1,Electronics,Laptop,893.64,1314.22,4,5256.88,0.1,1682.32,Completed,High,10647.0,East,Kolkata,West Bengal,2026-06-16,2026-06-19,Debit Card
113,1113,Mixer v1,Home Appliances,Mixer,4713.87,5276.65,10,52766.5,0.2,5627.8,Completed,Low,14618.0,South,Hyderabad,Telangana,2025-12-12,2025-12-19,Net Banking
114,1114,Jeans v1,Clothing,Jeans,3231.06,4116.75,9,37050.75,0.1,7971.21,Completed,High,12007.0,West,Pune,Maharashtra,2025-11-06,2025-11-10,UPI
115,1115,Sofa v1,Furniture,Sofa,2375.77,2858.26,3,8574.78,0.1,1447.47,Completed,Medium,12830.0,West,Ahmedabad,Gujarat,2025-11-23,2025-11-29,Debit Card
116,1116,Sofa v1,Furniture,Sofa,2303.02,2564.17,1,2564.17,0.1,261.15,Completed,Medium,13426.0,North,Chandigarh,Chandigarh,2026-01-29,2026-02-05,Net Banking
117,1117,Jeans v1,Clothing,Jeans,4980.25,6275.45,5,31377.25,0.15,6476.0,Completed,Medium,13222.0,South,Chennai,Tamil Nadu,2025-01-24,2025-01-25,UPI
118,1118,Shoes v1,Clothing,Shoes,2729.78,3906.94,7,27348.58,0.05,8240.12,Completed,Medium,12997.0,West,Ahmedabad,Gujarat,2025-09-28,2025-10-04,Credit Card
119,1119,Jacket v1,Clothing,Jacket,2570.85,3583.72,5,17918.6,0.2,5064.35,Completed,Low,10793.0,North,Chandigarh,Chandigarh,2025-05-02,2025-05-04,Credit Card
120,1120,Sofa v1,Furniture,Sofa,290.68,398.56,8,3188.48,0.2,863.04,Cancelled,Medium,14967.0,North,Delhi,Delhi,2026-04-13,2026-04-15,Cash
121,1121,Fan v1,Home Appliances,Fan,4158.62,5362.76,10,53627.6,0.1,12041.4,Cancelled,Medium,10137.0,East,Patna,Bihar,2026-05-02,2026-05-09,UPI
122,1122,Vacuum v1,Home Appliances,Vacuum,3936.23,5507.86,10,55078.6,0.05,15716.3,Completed,Low,13936.0,East,Patna,Bihar,2025-02-22,2025-02-27,Credit Card
123,1123,Chair v1,Furniture,Chair,192.79,229.64,3,688.92,0.15,110.55,Pending,Low,14111.0,North,Delhi,Delhi,2025-07-28,2025-08-01,UPI
124,1124,Desk v1,Furniture,Desk,2444.02,2980.66,3,8941.98,0.15,1609.92,Completed,Low,12903.0,East,Patna,Bihar,2025-12-17,2025-12-22,Debit Card
125,1125,Vacuum v1,Home Appliances,Vacuum,1467.13,1737.56,5,8687.8,0.1,1352.15,Cancelled,Low,14006.0,South,Bengaluru,Karnataka,2025-08-01,2025-08-07,Debit Card
126,1126,Shirt v1,Clothing,Shirt,4110.05,6081.12,3,18243.36,0.1,5913.21,Completed,Medium,10648.0,West,Ahmedabad,Gujarat,2025-02-13,2025-02-16,Credit Card
127,1127,Fan v1,Home Appliances,Fan,635.21,878.75,4,3515.0,0.05,974.16,Completed,Medium,14351.0,East,Kolkata,West Bengal,2025-02-21,2025-02-27,Cash
128,1128,Laptop v1,Electronics,Laptop,4891.76,5484.02,8,43872.16,0.15,4738.08,Cancelled,High,12354.0,North,Jaipur,Rajasthan,2025-07-24,2025-07-31,Net Banking
129,1129,,Furniture,Chair,4423.0,4994.03,1,4994.03,0.15,571.03,Completed,High,12372.0,South,Chennai,Tamil Nadu,2026-05-23,2026-05-25,Debit Card
130,1130,Shoes v1,Clothing,Shoes,4270.19,5383.04,4,21532.16,0.0,4451.4,Completed,Medium,13760.0,West,Mumbai,Maharashtra,2025-12-05,2025-12-07,Debit Card
131,1131,Microwave v1,Home Appliances,Microwave,4295.12,6243.68,7,43705.76,0.2,13639.92,Completed,Medium,13284.0,South,Hyderabad,Telangana,2025-12-02,2025-12-03,Credit Card
132,1132,Tablet v1,Electronics,Tablet,2289.0,2678.47,6,16070.82,0.1,2336.82,Completed,Medium,12946.0,West,Mumbai,Maharashtra,2025-01-12,2025-01-15,Cash
133,1133,Fan v1,Home Appliances,Fan,4589.04,5427.76,10,54277.6,0.05,8387.2,Completed,Medium,13918.0,North,Jaipur,Rajasthan,2025-08-13,2025-08-15,Net Banking
134,1134,Pen v1,Office Supplies,Pen,3798.22,5480.49,2,10960.98,0.2,3364.54,Completed,Medium,12964.0,South,Hyderabad,Telangana,2026-04-03,2026-04-08,Net Banking
135,1135,Desk v1,Furniture,Desk,4286.98,5353.7,4,21414.8,0.2,4266.88,Completed,Medium,14181.0,South,Chennai,Tamil Nadu,2026-05-16,2026-05-17,Net Banking
136,1136,Headphones v1,Electronics,Headphones,206.68,240.68,1,240.68,0.05,34.0,Cancelled,Low,13471.0,East,Patna,Bihar,2025-03-16,2025-03-17,UPI
137,1137,Notebook v1,Office Supplies,Notebook,981.91,1090.85,7,7635.95,0.1,762.58,Completed,Medium,13093.0,East,Bhubaneswar,Odisha,2026-01-27,2026-01-31,Debit Card
138,1138,Laptop v1,Electronics,Laptop,724.0,1079.07,1,1079.07,0.0,355.07,Completed,Medium,14461.0,West,Pune,Maharashtra,2025-11-02,2025-11-06,Credit Card
139,1139,Jeans v1,Clothing,Jeans,4066.44,5036.93,1,5036.93,0.05,970.49,Completed,Low,10827.0,North,Delhi,Delhi,2025-07-31,2025-08-01,Credit Card
140,1140,Headphones v1,Electronics,Headphones,2744.82,3813.85,1,3813.85,0.05,1069.03,Completed,Medium,11919.0,West,Mumbai,Maharashtra,2026-05-31,2026-06-03,Debit Card
141,1141,Table v1,Furniture,Table,2654.13,3280.78,5,16403.9,0.0,3133.25,Completed,Medium,13500.0,South,Hyderabad,Telangana,2025-06-29,2025-07-05,Cash
142,1142,Fan v1,Home Appliances,Fan,831.17,1013.53,9,9121.77,0.15,1641.24,Pending,Low,11847.0,West,Ahmedabad,Gujarat,2025-09-04,2025-09-11,Net Banking
143,1143,Marker v1,Office Supplies,Marker,1290.01,1472.55,2,2945.1,0.15,365.08,Completed,Medium,14388.0,South,Chennai,Tamil Nadu,2026-01-15,2026-01-16,Net Banking
144,1144,Mobile v1,Electronics,Mobile,3649.1,4749.24,8,37993.92,0.05,8801.12,Completed,Low,10126.0,South,Hyderabad,Telangana,2025-12-07,2025-12-10,Cash
145,1145,Desk v1,Furniture,Desk,2805.19,3924.41,7,27470.87,0.15,7834.54,Completed,Low,12143.0,West,Mumbai,Maharashtra,2026-01-03,2026-01-06,Cash
146,1146,Jeans v1,Clothing,Jeans,2128.26,2773.41,4,11093.64,0.05,2580.6,Completed,High,14533.0,East,Bhubaneswar,Odisha,2025-01-17,2025-01-20,Debit Card
147,1147,Sofa v1,Furniture,Sofa,2798.15,4126.04,6,24756.24,0.1,7967.34,Completed,High,14019.0,South,Chennai,Tamil Nadu,2026-05-16,2026-05-22,Net Banking
148,1148,Pen v1,Office Supplies,Pen,265.74,380.28,1,380.28,0.0,114.54,Completed,Medium,11896.0,North,Jaipur,Rajasthan,2026-02-27,2026-03-01,UPI
